FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-10-14,1.0670,3.6280,,,1,1.43,开放申购,开放赎回,,,,
2022-10-13,1.0520,3.6130,,,1,1.25,开放申购,开放赎回,,,,
2022-10-12,1.0390,3.6000,,,1,1.46,开放申购,开放赎回,,,,
2022-10-11,1.0240,3.5850,,,1,-0.10,开放申购,开放赎回,,,,
2022-10-10,1.0250,3.5860,,,1,-1.54,开放申购,开放赎回,,,,
2022-09-30,1.0410,3.6020,,,1,-2.16,开放申购,开放赎回,,,,
2022-09-29,1.0640,3.6250,,,1,0.57,开放申购,开放赎回,,,,
2022-09-28,1.0580,3.6190,,,1,-2.04,开放申购,开放赎回,,,,
2022-09-27,1.0800,3.6410,,,1,1.60,开放申购,开放赎回,,,,
2022-09-26,1.0630,3.6240,,,1,-0.37,开放申购,开放赎回,,,,
2022-09-23,1.0670,3.6280,,,1,-0.74,开放申购,开放赎回,,,,
2022-09-22,1.0750,3.6360,,,1,1.80,开放申购,开放赎回,,,,
2022-09-21,1.0560,3.6170,,,1,-0.85,开放申购,开放赎回,,,,
2022-09-20,1.0650,3.6260,,,1,0.09,开放申购,开放赎回,,,,
2022-09-19,1.0640,3.6250,,,1,-1.30,开放申购,开放赎回,,,,
2022-09-16,1.0780,3.6390,,,1,0.19,开放申购,开放赎回,,,,
2022-09-15,1.0760,3.6370,,,1,-2.36,开放申购,开放赎回,,,,
2022-09-14,1.1020,3.6630,,,1,1.01,开放申购,开放赎回,,,,
2022-09-13,1.0910,3.6520,,,1,0.28,开放申购,开放赎回,,,,
2022-09-09,1.0880,3.6490,,,1,-0.55,开放申购,开放赎回,,,,
2022-09-08,1.0940,3.6550,0.27,开放申购,开放赎回,,,1,,,,
2022-09-07,1.0910,3.6520,1.39,开放申购,开放赎回,,,1,,,,
2022-09-06,1.0760,3.6370,2.18,开放申购,开放赎回,,,1,,,,
2022-09-05,1.0530,3.6140,0.48,开放申购,开放赎回,,,1,,,,
2022-09-02,1.0480,3.6090,0.38,开放申购,开放赎回,,,1,,,,
2022-09-01,1.0440,3.6050,-0.19,开放申购,开放赎回,,,1,,,,
2022-08-31,1.0460,3.6070,-2.33,开放申购,开放赎回,,,1,,,,
2022-08-30,1.0710,3.6320,-0.74,开放申购,开放赎回,,,1,,,,
2022-08-29,1.0790,3.6400,0.84,开放申购,开放赎回,,,1,,,,
2022-08-26,1.0700,3.6310,-1.65,开放申购,开放赎回,,,1,,,,
2022-08-25,1.0880,3.6490,-0.73,开放申购,开放赎回,,,1,,,,
2022-08-24,1.0960,3.6570,-2.92,开放申购,开放赎回,,,1,,,,
2022-08-23,1.1290,3.6900,0.36,开放申购,开放赎回,,,1,,,,
2022-08-22,1.1250,3.6860,1.08,开放申购,开放赎回,,,1,,,,
2022-08-19,1.1130,3.6740,-0.98,开放申购,开放赎回,,,1,,,,
2022-08-18,1.1240,3.6850,1.72,开放申购,开放赎回,,,1,,,,
2022-08-17,1.1050,3.6660,-0.63,开放申购,开放赎回,,,1,,,,
2022-08-16,1.1120,3.6730,0.82,开放申购,开放赎回,,,1,,,,
2022-08-15,1.1030,3.6640,0.64,开放申购,开放赎回,,,1,,,,
2022-08-12,1.0960,3.6570,-1.79,开放申购,开放赎回,,,1,,,,
2022-08-11,1.1160,3.6770,,,1,-0.27,开放申购,开放赎回,,,,
2022-08-10,1.1190,3.6800,,,1,0.36,开放申购,开放赎回,,,,
2022-08-09,1.1150,3.6760,,,1,1.64,开放申购,开放赎回,,,,
2022-08-08,1.0970,3.6580,,,1,2.24,开放申购,开放赎回,,,,
2022-08-05,1.0730,3.6340,,,1,0.00,开放申购,开放赎回,,,,
2022-08-04,1.0730,3.6340,,,1,-0.37,开放申购,开放赎回,,,,
2022-08-03,1.0770,3.6380,,,1,1.13,开放申购,开放赎回,,,,
2022-08-02,1.0650,3.6260,,,1,-0.75,开放申购,开放赎回,,,,
2022-08-01,1.0730,3.6340,,,1,0.75,开放申购,开放赎回,,,,
2022-07-29,1.0650,3.6260,,,1,-1.11,开放申购,开放赎回,,,,
2022-07-28,1.0770,3.6380,,,1,0.37,开放申购,开放赎回,,,,
2022-07-27,1.0730,3.6340,,,1,0.47,开放申购,开放赎回,,,,
2022-07-26,1.0680,3.6290,,,1,0.56,开放申购,开放赎回,,,,
2022-07-25,1.0620,3.6230,,,1,0.09,开放申购,开放赎回,,,,
2022-07-22,1.0610,3.6220,,,1,-0.28,开放申购,开放赎回,,,,
2022-07-21,1.0640,3.6250,,,1,-0.56,开放申购,开放赎回,,,,
2022-07-20,1.0700,3.6310,,,1,1.61,开放申购,开放赎回,,,,
2022-07-19,1.0530,3.6140,,,1,-0.75,开放申购,开放赎回,,,,
2022-07-18,1.0610,3.6220,,,1,-0.47,开放申购,开放赎回,,,,
2022-07-15,1.0660,3.6270,,,1,-0.84,开放申购,开放赎回,,,,
